Year,RSTN,SLGR,SRKR,YMTH,STRK,BANK
2001,0.000151137,0.031650579,0.040348994,0.000738721,0,0
2002,0.003592138,0.440438715,0.011542942,0.000312299,0,0
2003,0.006857372,0.001261306,0.622198157,0.003704357,0,0
2004,0,0,0.00017867,0,0,0
2005,0,0,0.002868522,0,0,0
2006,0.00010918,0.005482804,0.032344576,0,0,0
2007,0,0.145438398,0.001058913,0,0,0
2008,0,0.033969981,0,0,0,0
2009,0,0.144963758,0.000220446,0,0,0
2010,0.000473959,0.43540837,0.363216064,0,0,0
2011,3.732778483,11.18701522,0.053401584,0.008037303,0,4.57E-05
2012,0.007500204,0,0.000732915,0.000275558,0,0
2013,0.40446721,2.609157451,0.009017064,0.000923152,0,0
2014,0.571345357,1.372213669,0.083466992,0.001875017,0.472525877,0.000199944
2015,7.005326995,1.375919796,0.874810534,0.16609376,0,0
2016,0.380151954,3.089409513,0.134864013,0.000498635,0,6.68E-05
